;Source Domain;Target Domain;Title;Metaphor;Example 
1562;;;The Progress Of External Events Is Forward Motion; Control Over The Progress Of External Events Is Control Over Their Forward Motion;Let's put the brakes on development in this area.
1563;bounded region;visual field, view, field of vision;The Visual Field Is A Bounded Region;The Visual Field Is A Bounded Region;Field of vison
1564;bounded region;visual field, view, field of vision;The Visual Field Is A Bounded Region;Within Sight Is Within Region;The crowd extends out to the very edges of my field of vision.
1565;bounded region;visual field, view, field of vision;The Visual Field Is A Bounded Region;Within Sight Is Within Region;Peripheral vision.
1566;bounded region;visual field, view, field of vision;The Visual Field Is A Bounded Region;Out Of Sight Is Out Of Bounded Region;The huge crowd extends beyond my field of vision.
1567;container;visual field, view, field of vision;The Visual Field Is A Container;Within Sight Is Within Container;It was well within my field of vision.
1568;container;visual field, view, field of vision;The Visual Field Is A Container;Within Sight Is Within Container;My field of vision was entirely filled by the huge crowd.
1569;container;visual field, view, field of vision;The Visual Field Is A Container;Within Sight Is Within Container;He came into view.
1570;container;visual field, view, field of vision;The Visual Field Is A Container;Out Of Sight Is Outside Container;It was outside of my field of vision.
1571;container;visual field, view, field of vision;The Visual Field Is A Container;Out Of Sight Is Outside Container;He went out of view.
1572;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;One theory emerged victorious over the other.
1573;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;The adherents of that theory will soon be beaten out by new theorists.
1574;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;The newer theory won out in the end.
1575;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;This theory is unmatched/unequaled.
1576;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;Those are rival/competing theories.
1577;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;Evolution is the leading biological theory
1578;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;Steady
1579;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;A fierce battle is shaping up in modern philosophy.
1580;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;Those two theories have been fighting it out for years.
1581;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;That group has expressed alliegence to the newer theory.
1582;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;That one is currently the reigning theory.
1583;competition;theory, theories, believers;Theoretical Debate Is Competition;Theoretical Debate Is Competition;That theory won many adherents.
1584;competition;theory, theories, believers;Theoretical Debate Is Competition;BELIEFS ARE STRUCTURES;What is his position on the issue?
1585;competition;theory, theories, believers;Theoretical Debate Is Competition;BELIEFS ARE STRUCTURES;He took a stand on abortion
1586;competition;theory, theories, believers;Theoretical Debate Is Competition;BELIEFS ARE STRUCTURES;"Her belief was shaky; it didn't stand up to attack"
1587;competition;theory, theories, believers;Theoretical Debate Is Competition;BELIEFS ARE STRUCTURES;That's a firmly entrenched belief
1588;competition;theory, theories, believers;Theoretical Debate Is Competition;Data Is Territory;A successful theory governs all the observable data.
1589;competition;theory, theories, believers;Theoretical Debate Is Competition;Data Is Territory;What phenomena does your theory cover?
1590;competition;theory, theories, believers;Theoretical Debate Is Competition;Reasons For A Theory Are Grounds;What are the grounds of that belief?
1591;competition;theory, theories, believers;Theoretical Debate Is Competition;Attacking A Theory Is Attacking A Fortification;He tried to sway her belief.
1592;competition;theory, theories, believers;Theoretical Debate Is Competition;Attacking A Theory Is Attacking A Fortification;Her beliefs came under attack.
1593;competition;theory, theories, believers;Theoretical Debate Is Competition;Attacking A Theory Is Attacking A Fortification;He attacked my position on abortion
1594;competition;theory, theories, believers;Theoretical Debate Is Competition;Attacking A Theory Is Attacking A Fortification;He parried/turned aside/deflected my argument.
1595;competition;theory, theories, believers;Theoretical Debate Is Competition;Attacking A Theory Is Attacking A Fortification;She launched a devastating reposte.
1596;competition;theory, theories, believers;Theoretical Debate Is Competition;Attacking A Theory Is Attacking A Fortification;I shot/knocked down her arguments
1597;competition;theory, theories, believers;Theoretical Debate Is Competition;Attacking A Theory Is Attacking A Fortification;I torpedoed his arguments
1598;competition;theory, theories, believers;Theoretical Debate Is Competition;Attacking A Theory Is Attacking A Fortification;He tried a new line of attack
1599;competition;theory, theories, believers;Theoretical Debate Is Competition;Basic Assumptions Of A Theory Are Foundations;He chipped away at the foundation for her beliefs.
1600;competition;theory, theories, believers;Theoretical Debate Is Competition;Basic Assumptions Of A Theory Are Foundations;He tried to undermine her belief.
1601;competition;theory, theories, believers;Theoretical Debate Is Competition;Believers Of The Theory Protect The Theory From Collapse;What view does he uphold?
1602;competition;theory, theories, believers;Theoretical Debate Is Competition;Believers Of The Theory Protect The Theory From Collapse;She is a vehement supporter of creationism.
1603;competition;theory, theories, believers;Theoretical Debate Is Competition;Believers Of The Theory Protect The Theory From Collapse;They are defenders of the Whorfian position.
1604;competition;theory, theories, believers;Theoretical Debate Is Competition;Believers Of The Theory Protect The Theory From Collapse;I defended my belief in capital punishment
1605;competition;theory, theories, believers;Theoretical Debate Is Competition;Abandoning A Belief Is Retreating From A Position;I retreated from my stand on taxation under his cynical attacks.
1606;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Beings With Life Cycles;The theory died out.
1607;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Beings With Life Cycles;The theory is in the early stages of its development
1608;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Beings With Life Cycles;This theory has been alive a long time.
1609;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are People (w.r.t Life Cycle);A new theory was given birth.
1610;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are People (w.r.t Life Cycle);The theory was dead and buried.
1611;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are People (w.r.t Life Cycle);The theory was eventually retired.
1612;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Plants (w.r.t. Life Cycle);This theory is withering on the vine.
1613;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Plants (w.r.t. Life Cycle);This theory is still productive.
1614;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Plants (w.r.t. Life Cycle);This theory is past the time when it can bear fruit for us.
1615;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Plants (w.r.t. Life Cycle);The theory grew out of their earlier work.
1616;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Plants (w.r.t. Life Cycle);The theory was a natural outgrowth of their work.
1617;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Plants (w.r.t. Life Cycle);Many theories sprang up out of the fertile soil of his discoveries.
1618;beings, people, plants;theories;Theories Are Beings With Life Cycles;Theories Are Plants (w.r.t. Life Cycle);The theory was nourished by later experimental results.
1619;cloth, clothing;theories;Theories Are Cloth;Theories Are Cloth;A finely woven theory.
1620;cloth, clothing;theories;Theories Are Cloth;Theories Are Cloth;The very fabric of the theory.
1621;cloth, clothing;theories;Theories Are Cloth;Theories Are Cloth;The theory fell apart at the seams.
1622;cloth, clothing;theories;Theories Are Cloth;Theories Are Cloth;It was a patchwork/crazy quilt of a theoruy.
1623;cloth, clothing;theories;Theories Are Cloth;Theories Are Clothing For Facts;The theory fit the data nicely.
1624;cloth, clothing;theories;Theories Are Cloth;Theories Are Clothing For Facts;Let's look at the naked facts.
